"Dénomination / Nom";"Début d'activité";"SIREN";"Représentants";"Adresse du siège";"Forme juridique";"Activité";"Département";"Etablissements";"Capital";"Statut"
"L URBAINE TAXI";"01/01/1948";"'562012518";"FREDERIC JEAN PAUL MARTI";"7 RUE FELIX PYAT 94500 CHAMPIGNY-SUR-MARNE FRANCE ";"Société à responsabilité limitée";"Création ou Acuqisition et exploitation de tous fonds de commerce pour l'achat et la location de voitures automobiles de place la vente la représentation la réparation et le garage des véhicules automobiles";"'94";"";"12400.0";"Active"
"AGENCE CENTRALE MAY";"01/01/1948";"'568200687";"OLIVIER MAY";"2 RTE DE BONDY 93600 AULNAY-SOUS-BOIS FRANCE ";"Société à responsabilité limitée";"L'exploitation d'un fonds de commerce de transaction immobilière ainsi que la vente de propriétés et fonds de commerce, location. ";"'93";"5 RUE ONZE NOVEMBRE 93600 AULNAY SOUS BOIS FRANCE 13 PL DU GENERAL LECLERC 93600 AULNAY-SOUS-BOIS FRANCE ";"457.35";"Active"
"ROUSSEAU ENGHIEN";"01/01/1948";"'568202402";"HERVE MARCEL ROBERT ROUSSEAU, GILLES REMI GUY BERNARD ROUSSEAU";"150 AV DE LA DIVISION LECLERC 95160 MONTMORENCY FRANCE ";"Société par actions simplifiée";"Exploitation de tous garages entretien achat et vente de tous véhicules automobiles ainsi que tous transports automobiles et toutes opérations accessoires a cette industrie.";"'95";"65 AV DE LA DIVISION LECLERC 95170 DEUIL-LA-BARRE FRANCE RUE JEAN MONNET 95350 SAINT-BRICE-SOUS-FORET FRANCE 88 AV Jean Rostand 95330 Domont FRANCE ";"800000.0";"Active"
"LE CHAI PRULIERE";"01/01/1948";"'575720081";"JEAN-PHILIPPE PRULIERE";"64 AV JACQUES DUCLOS 63910 VERTAIZON FRANCE ";"Société par actions simplifiée";"Marchand de vins en gros l'exploitation de tous fonds de commerce de vente en gros, demi-gros et au détail auprès des particuliers de vins, spiritueux, boissons gazeuses, cadeaux, produits de cave, et à titre accessoire de produits d'alimentation générale et produits régionaux";"'63";"64 AV JACQUES DUCLOS 63910 VERTAIZON FRANCE ";"8320.0";"Active"
"ETABLISSEMENTS LIEGEOIS ET CAZIN";"01/01/1948";"'578801086";"ARNAUD DEBRUXELLES";"119 RUE LEON GAMBETTA 59243 QUAROUBLE FRANCE ";"Société par actions simplifiée";"Constructions métalliques, chaudronnerie, forges charpentes métalliques, serrurerie, hangars à agricoles et industriels, entretien et réparations";"'59";"";"200000.0";"Active"
"CARLY'S";"01/01/1948";"'579801572";"GUILLAUME LASCAR";"52 RUE DE LA PAROISSE 78000 VERSAILLES FRANCE ";"Société à responsabilité limitée";"Commerce de vêtements chaussures et maroquinerie commercé de détail";"'78";"23 RUE DU GENERAL LECLERC 78000 VERSAILLES FRANCE ";"45277.36";"Active"
"ASMO-BAX";"01/01/1948";"'580800399";"PAULINE LAMBERT, CHRISTIAN LAMBERT, CLAUDE LAMBERT";"9 AV DE SAINT GUILLAN 31620 CASTELNAU-D'ESTRETEFONDS FRANCE ";"SA à conseil d'administration";"Achat, vente, courtage, échange d'aciers spéciaux, matières premières, matériels et fournitures électriques et industrielles, machines outils.";"'31";"274 RTE DE LAUNAGUET 31200 TOULOUSE FRANCE AV DU TOUR DE LA LOYRE 19360 MALEMORT FRANCE AV DES FRERES MONTGOLFIER 64140 LONS FRANCE CHANTELOISEAU 33140 VILLENAVE D ORNON FRANCE ";"1061045.16";"Active"
"L AIGLE";"01/01/1948";"'585850100";"";"";"SA à conseil d'administration";"";"";"RUE DE LA PASSERELLE 43000 LE PUY-EN-VELAY FRANCE ";"";"Active"
"SOCIETE PARIS LOIRE";"01/01/1948";"'784689697";"YVES CHAUMET, CHRISTIANE JEANNE MARTHE PEUGEOT, BAPTISTE PEYRON, ONDINE PEYRON, THIBAULT Peyron, ROSE MAY SPANGLER";"62 AV DE LA GRANDE ARMEE 75017 PARIS FRANCE ";"SA à conseil d'administration";"La gestion et l'administration de l'immeuble social";"'75";"";"134280.0";"Active"
"LEFRANCOIS ET FILS";"01/01/1948";"'605780113";"PHILIPPE FRANCOIS JEAN LEFRANCOIS";"8 AV LOUIS SAVOYE 76460 SAINT-VALERY-EN-CAUX FRANCE ";"Société par actions simplifiée";"Transports routiers et notamment les transports publics de marchandises, l'achat, la fabrication et la vente de matériaux de construction, l'exploitation de carrières et l'entreprise de travaux de terrassement, la location de matériels de travaux publics, le contrôle et la vérification d'engins de terrassement et de levage.";"'76";"76460 NEVILLE FRANCE RTE DE CALVAILLE 76450 CANY-BARVILLE FRANCE 60 RTE DU HAVRE 76460 SAINT-VALERY-EN-CAUX FRANCE ";"44600.0";"Active"
